Configuration,SIZE,Posit_FFT,Float_FFT,Posit_IFFT,Float_IFFT,Posit_SIN,Float_SIN,Posit_COS,Float_COS,Type,Label
TERMS_2_N_32_ES_2_SIZE_256_NAPP,256,138.837,134.322,149.333,131.788,157.021,140.341,154.901,137.5,NAPP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_512_APP,512,134.409,28.2011,144.407,27.5293,,,,,APP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_512_NAPP,512,134.409,28.2011,144.368,26.8439,,,,,NAPP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_64_APP,64,138.483,137.483,153.334,139.319,157.156,140.312,155.116,137.275,APP,"T:2 (32,2)"
TERMS_2_N_32_ES_2_SIZE_64_NAPP,64,138.483,137.483,153.173,138.685,156.936,140.229,155.116,137.275,NAPP,"T:2 (32,2)"
TERMS_3_N_24_ES_0_SIZE_1024_APP,1024,9.00333,17.9861,14.1478,34.2723,,,,,APP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_1024_NAPP,1024,9.02542,18.1382,14.0766,33.9203,,,,,NAPP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_128_APP,128,104.371,135.904,113.282,135.915,120.826,140.067,119.648,138.767,APP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_128_NAPP,128,104.217,132.466,113.611,134.889,121.083,140.083,120.227,139.522,NAPP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_2048_APP,2048,1.57464,16.3617,4.4548,24.3235,,,,,APP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_2048_NAPP,2048,1.57093,16.4662,4.43321,24.2559,,,,,NAPP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_256_APP,256,20.7725,136.205,41.1212,131.672,121.162,140.106,120.153,139.282,APP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_256_NAPP,256,20.8331,131.048,40.8667,131.174,121.165,140.192,120.781,139.995,NAPP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_512_APP,512,18.0695,28.6741,21.667,27.5319,,,,,APP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_512_NAPP,512,18.0722,28.6473,21.169,26.7726,,,,,NAPP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_64_APP,64,107.377,136.772,114.972,137.967,120.224,139.966,121.119,138.691,APP,"T:3 (24,0)"
TERMS_3_N_24_ES_0_SIZE_64_NAPP,64,108.308,135.503,115.095,135.787,120.397,139.689,121.478,139.265,NAPP,"T:3 (24,0)"
TERMS_3_N_24_ES_1_SIZE_1024_APP,1024,4.47436,17.9861,8.39618,34.2723,,,,,APP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_1024_NAPP,1024,4.46779,18.1382,8.34404,33.9203,,,,,NAPP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_128_APP,128,51.5023,135.904,54.6355,135.915,114.714,140.067,113.987,138.767,APP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_128_NAPP,128,51.929,132.466,55.3543,134.889,114.69,140.083,114.603,139.522,NAPP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_2048_APP,2048,-0.94299,16.3617,2.7758,24.3235,,,,,APP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_2048_NAPP,2048,-0.945922,16.4662,2.76501,24.2559,,,,,NAPP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_256_APP,256,16.8087,136.205,33.7863,131.672,114.801,140.106,115.455,139.282,APP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_256_NAPP,256,16.8691,131.048,33.4646,131.174,114.749,140.192,116.021,139.995,NAPP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_512_APP,512,16.0203,28.6741,18.4488,27.5319,,,,,APP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_512_NAPP,512,16.0883,28.6473,18.1758,26.7726,,,,,NAPP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_64_APP,64,101.208,136.772,108.533,137.967,112.683,139.966,112.57,138.691,APP,"T:3 (24,1)"
TERMS_3_N_24_ES_1_SIZE_64_NAPP,64,101.697,135.503,108.629,135.787,112.643,139.689,113.219,139.265,NAPP,"T:3 (24,1)"
TERMS_3_N_24_ES_2_SIZE_1024_APP,1024,0.785222,17.9861,4.02267,34.2723,,,,,APP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_1024_NAPP,1024,0.780278,18.1382,3.94705,33.9203,,,,,NAPP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_128_APP,128,22.3937,135.904,26.6394,135.915,111.024,140.067,109.524,138.767,APP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_128_NAPP,128,22.4643,132.466,26.3819,134.889,111.384,140.083,110.252,139.522,NAPP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_2048_APP,2048,-1.63136,16.3617,2.87695,24.3235,,,,,APP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_2048_NAPP,2048,-1.62541,16.4662,2.88694,24.2559,,,,,NAPP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_256_APP,256,14.8328,136.205,28.2061,131.672,109.715,140.106,109.72,139.282,APP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_256_NAPP,256,14.8707,131.048,27.9949,131.174,109.66,140.192,110.426,139.995,NAPP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_512_APP,512,13.5681,28.6741,13.4699,27.5319,,,,,APP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_512_NAPP,512,13.554,28.6473,13.3619,26.7726,,,,,NAPP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_64_APP,64,96.2913,136.772,102.195,137.967,111.173,139.966,110.896,138.691,APP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_64_NAPP,64,96.1607,135.503,102.847,135.787,111.888,139.689,111.375,139.265,NAPP,"T:3 (24,2)"
TERMS_3_N_28_ES_0_SIZE_1024_APP,1024,21.9348,17.9861,41.0897,34.2723,,,,,APP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_1024_NAPP,1024,21.9907,18.1382,40.7203,33.9203,,,,,NAPP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_128_APP,128,128.745,135.904,136.65,135.915,145.478,140.067,145.034,138.767,APP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_128_NAPP,128,129.355,132.466,137.027,134.889,145.538,140.083,145.495,139.522,NAPP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_2048_APP,2048,17.9183,16.3617,27.8603,24.3235,,,,,APP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_2048_NAPP,2048,17.9951,16.4662,27.7323,24.2559,,,,,NAPP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_256_APP,256,127.947,136.205,136.888,131.672,145.215,140.106,145.132,139.282,APP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_256_NAPP,256,127.375,131.048,136.772,131.174,145.287,140.192,145.685,139.995,NAPP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_512_APP,512,122.454,28.6741,133.3,27.5319,,,,,APP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_512_NAPP,512,122.09,28.6473,133.693,26.7726,,,,,NAPP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_64_APP,64,129.409,136.772,138.469,137.967,145.069,139.966,145.263,138.691,APP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_64_NAPP,64,129.349,135.503,139.403,135.787,145.349,139.689,145.447,139.265,NAPP,"T:3 (28,0)"
TERMS_3_N_28_ES_1_SIZE_1024_APP,1024,18.3648,17.9861,33.362,34.2723,,,,,APP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_1024_NAPP,1024,18.3923,18.1382,33.2122,33.9203,,,,,NAPP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_128_APP,128,123.273,135.904,130.939,135.915,139.664,140.067,139.656,138.767,APP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_128_NAPP,128,122.134,132.466,130.852,134.889,140.043,140.083,140.161,139.522,NAPP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_2048_APP,2048,14.7325,16.3617,21.3437,24.3235,,,,,APP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_2048_NAPP,2048,14.8373,16.4662,21.2449,24.2559,,,,,NAPP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_256_APP,256,121.429,136.205,130.031,131.672,139.476,140.106,139.581,139.282,APP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_256_NAPP,256,120.829,131.048,131.642,131.174,139.513,140.192,140.123,139.995,NAPP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_512_APP,512,51.0166,28.6741,54.9034,27.5319,,,,,APP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_512_NAPP,512,51.6628,28.6473,55.2464,26.7726,,,,,NAPP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_64_APP,64,123.929,136.772,131.979,137.967,138.798,139.966,139.343,138.691,APP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_64_NAPP,64,124.435,135.503,131.831,135.787,139.535,139.689,139.735,139.265,NAPP,"T:3 (28,1)"
TERMS_3_N_28_ES_2_SIZE_1024_APP,1024,16.3181,17.9861,26.8549,34.2723,,,,,APP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_1024_NAPP,1024,16.3644,18.1382,26.6857,33.9203,,,,,NAPP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_128_APP,128,117.484,135.904,125.21,135.915,133.224,140.067,132.828,138.767,APP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_128_NAPP,128,116.069,132.466,124.603,134.889,133.142,140.083,133.255,139.522,NAPP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_2048_APP,2048,10.3811,16.3617,15.0417,24.3235,,,,,APP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_2048_NAPP,2048,10.4501,16.4662,14.9626,24.2559,,,,,NAPP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_256_APP,256,115.862,136.205,125.242,131.672,133.18,140.106,132.819,139.282,APP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_256_NAPP,256,115.984,131.048,124.922,131.174,133.088,140.192,133.296,139.995,NAPP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_512_APP,512,28.8374,28.6741,27.6095,27.5319,,,,,APP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_512_NAPP,512,28.7198,28.6473,26.9621,26.7726,,,,,NAPP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_64_APP,64,117.64,136.772,126.547,137.967,133.036,139.966,132.833,138.691,APP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_64_NAPP,64,117.394,135.503,126.343,135.787,132.626,139.689,133.094,139.265,NAPP,"T:3 (28,2)"
TERMS_3_N_32_ES_0_SIZE_1024_APP,1024,147.22,17.9861,152.665,34.2723,,,,,APP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_1024_NAPP,1024,146.979,18.1382,152.034,33.9203,,,,,NAPP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_128_APP,128,152.697,135.904,161.268,135.915,169.219,140.067,169.515,138.767,APP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_128_NAPP,128,152.958,132.466,161.5,134.889,169.273,140.083,170.25,139.522,NAPP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_2048_APP,2048,138.172,16.3617,151.995,24.3235,,,,,APP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_2048_NAPP,2048,138.776,16.4662,152.336,24.2559,,,,,NAPP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_256_APP,256,151.203,136.205,161.38,131.672,169.667,140.106,168.837,139.282,APP,"T:3 (32,0)"
