Configuration,SIZE,Posit_FFT,Float_FFT,Posit_IFFT,Float_IFFT,Posit_SIN,Float_SIN,Posit_COS,Float_COS,Type,Label
TERMS_3_N_24_ES_2_SIZE_128_NAPP,128,39.3826,67.4045,22.0734,22.718,111.172,140.122,110.104,139.845,NAPP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_256_APP,256,26.7691,54.4373,13.9173,14.744,110.721,139.952,109.627,138.799,APP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_256_NAPP,256,27.1489,58.4863,15.8231,17.2121,110.896,140.277,110.272,139.547,NAPP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_64_APP,64,51.4501,86.8822,19.2287,19.3456,110.734,139.943,109.892,138.827,APP,"T:3 (24,2)"
TERMS_3_N_24_ES_2_SIZE_64_NAPP,64,52.1573,87.6728,28.6137,28.9418,110.636,140.038,110.222,139.461,NAPP,"T:3 (24,2)"
TERMS_3_N_28_ES_0_SIZE_128_APP,128,62.2312,62.027,17.104,17.1291,148.044,140.065,145.183,139.159,APP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_128_NAPP,128,67.8771,67.4045,22.6928,22.718,148.177,140.122,145.782,139.845,NAPP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_256_APP,256,54.5148,54.4373,14.7015,14.744,147.798,139.952,145.284,138.799,APP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_256_NAPP,256,58.4974,58.4863,17.184,17.2121,148.174,140.277,145.899,139.547,NAPP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_64_APP,64,85.8302,86.8822,19.2968,19.3456,147.112,139.943,146.122,138.827,APP,"T:3 (28,0)"
TERMS_3_N_28_ES_0_SIZE_64_NAPP,64,86.5438,87.6728,28.9877,28.9418,147.327,140.038,146.454,139.461,NAPP,"T:3 (28,0)"
TERMS_3_N_28_ES_1_SIZE_128_APP,128,61.6113,62.027,17.1007,17.1291,140.819,140.065,139.05,139.159,APP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_128_NAPP,128,66.3051,67.4045,22.6818,22.718,140.596,140.122,139.58,139.845,NAPP,"T:3 (28,1)"
